Time (ms)	Lift	Drag
10093.000	1.696	0.054
10170.000	1.695	0.055
10249.000	1.695	0.055
10327.000	1.693	0.055
10406.000	1.694	0.056
10484.000	1.694	0.057
10561.000	1.693	0.056
10640.000	1.694	0.054
10715.000	1.696	0.054
10794.000	1.695	0.055
10872.000	1.693	0.057
10950.000	1.693	0.055
11027.000	1.695	0.054
11106.000	1.695	0.058
11182.000	1.696	0.055
11260.000	1.695	0.054
11337.000	1.695	0.053
11417.000	1.697	0.054
11496.000	1.694	0.057
11574.000	1.694	0.054
11651.000	1.696	0.055
11728.000	1.694	0.058
11806.000	1.695	0.055
11884.000	1.695	0.057
11960.000	1.695	0.057
12040.000	1.694	0.054
12120.000	1.694	0.056
12197.000	1.694	0.055
12275.000	1.696	0.056
12354.000	1.695	0.056
12431.000	1.694	0.054
12509.000	1.693	0.055
12586.000	1.695	0.058
12663.000	1.694	0.055
12740.000	1.697	0.055
12816.000	1.695	0.056
12892.000	1.695	0.056
12970.000	1.695	0.056
13048.000	1.694	0.057
13125.000	1.693	0.055
13202.000	1.693	0.056
13279.000	1.697	0.056
13356.000	1.694	0.055
13435.000	1.694	0.057
13513.000	1.692	0.054
13592.000	1.695	0.055
13670.000	1.696	0.054
13747.000	1.695	0.053
13826.000	1.695	0.055
13902.000	1.696	0.055
13981.000	1.694	0.056
14059.000	1.694	0.057
14138.000	1.696	0.055
14214.000	1.695	0.057
14291.000	1.695	0.058
14369.000	1.696	0.054
14446.000	1.694	0.054
14525.000	1.695	0.054
14603.000	1.694	0.056
14682.000	1.695	0.056
14761.000	1.695	0.055
14839.000	1.693	0.055
14917.000	1.694	0.057
14995.000	1.694	0.055
15074.000	1.696	0.056
15151.000	1.695	0.055
15227.000	1.694	0.052
15305.000	1.693	0.055
15382.000	1.695	0.055
15461.000	1.693	0.054
15538.000	1.693	0.056
15617.000	1.695	0.052
15694.000	1.694	0.055
15770.000	1.696	0.055
15848.000	1.695	0.052
15926.000	1.695	0.054
16003.000	1.696	0.055
16079.000	1.694	0.058
16157.000	1.695	0.058
16235.000	1.694	0.055
16313.000	1.693	0.055
16390.000	1.694	0.058
16467.000	1.695	0.058
16542.000	1.693	0.056
16619.000	1.695	0.054
16696.000	1.695	0.052
16774.000	1.696	0.052
16850.000	1.696	0.057
16927.000	1.694	0.055
17005.000	1.693	0.056
17083.000	1.695	0.060
17160.000	1.695	0.057
17238.000	1.695	0.059
17316.000	1.695	0.054
17394.000	1.696	0.054
17471.000	1.694	0.056
17548.000	1.695	0.052
17626.000	1.695	0.055
17703.000	1.695	0.057
17784.000	1.697	0.057
